,Descriptor,Location Type,Cluster Labels,Segment
0,Noise,Street/Sidewalk,6,7
1,Noise,Street/Sidewalk,6,7
2,Noise,Street/Sidewalk,6,7
3,Other,Street/Sidewalk,1,2
4,Noise,Residential Building/House,5,6
5,Safety,Street/Sidewalk,7,8
6,Noise,Street/Sidewalk,6,7
7,Noise,Street/Sidewalk,6,7
8,Traffic,Residential Building/House,0,1
9,Noise,Street/Sidewalk,6,7
10,Noise,Residential Building/House,5,6
11,Noise,Street/Sidewalk,6,7
12,Noise,Street/Sidewalk,6,7
13,Noise,Residential Building/House,5,6
14,Noise,Street/Sidewalk,6,7
15,Noise,Residential Building/House,5,6
16,Noise,Residential Building/House,5,6
17,Noise,Street/Sidewalk,6,7
18,Noise,Street/Sidewalk,6,7
19,Noise,Street/Sidewalk,6,7
20,Noise,Street/Sidewalk,6,7
21,Traffic,Residential Building/House,0,1
22,Traffic,Street/Sidewalk,1,2
23,Noise,Street/Sidewalk,6,7
24,Noise,Street/Sidewalk,6,7
25,Other,Residential Building/House,0,1
26,Noise,Residential Building/House,5,6
27,Noise,Street/Sidewalk,6,7
29,Traffic,Residential Building/House,0,1
30,Noise,Street/Sidewalk,6,7
31,Noise,Street/Sidewalk,6,7
32,Noise,Residential Building/House,5,6
33,Noise,Residential Building/House,5,6
34,Noise,Store/Commercial,3,4
35,Noise,Street/Sidewalk,6,7
36,Noise,Street/Sidewalk,6,7
37,Noise,Residential Building/House,5,6
38,Noise,Residential Building/House,5,6
39,Noise,Residential Building/House,5,6
40,Noise,Street/Sidewalk,6,7
41,Noise,Street/Sidewalk,6,7
42,Noise,Street/Sidewalk,6,7
43,Noise,Residential Building/House,5,6
44,Noise,Residential Building/House,5,6
45,Noise,Street/Sidewalk,6,7
46,Noise,Street/Sidewalk,6,7
47,Noise,Street/Sidewalk,6,7
48,Traffic,Residential Building/House,0,1
49,Noise,Street/Sidewalk,6,7
50,Noise,Street/Sidewalk,6,7
51,Noise,Store/Commercial,3,4
52,Noise,Street/Sidewalk,6,7
53,Noise,Street/Sidewalk,6,7
54,Noise,Residential Building/House,5,6
55,Traffic,Street/Sidewalk,1,2
56,Safety,Street/Sidewalk,7,8
57,Noise,Residential Building/House,5,6
58,Noise,Street/Sidewalk,6,7
59,Personal Issue,Street/Sidewalk,1,2
60,Traffic,Residential Building/House,0,1
61,Noise,Street/Sidewalk,6,7
62,Traffic,Street/Sidewalk,1,2
63,Energy,Street/Sidewalk,1,2
64,Noise,Residential Building/House,5,6
65,Noise,Residential Building/House,5,6
66,Noise,Street/Sidewalk,6,7
70,Noise,Street/Sidewalk,6,7
71,Noise,Street/Sidewalk,6,7
72,Other,Store/Commercial,3,4
73,Noise,Street/Sidewalk,6,7
74,Noise,Street/Sidewalk,6,7
75,Noise,Residential Building/House,5,6
76,Traffic,Street/Sidewalk,1,2
77,Traffic,Residential Building/House,0,1
78,Noise,Residential Building/House,5,6
79,Safety,Street/Sidewalk,7,8
80,Noise,Street/Sidewalk,6,7
81,Noise,Residential Building/House,5,6
82,Traffic,Street/Sidewalk,1,2
83,Traffic,Residential Building/House,0,1
84,Traffic,Street/Sidewalk,1,2
85,Traffic,Street/Sidewalk,1,2
86,Traffic,Street/Sidewalk,1,2
87,Traffic,Street/Sidewalk,1,2
88,Energy,Street/Sidewalk,1,2
89,Traffic,Residential Building/House,0,1
90,Traffic,Residential Building/House,0,1
91,Animals,Park,4,5
92,Animals,Park,4,5
93,Noise,Street/Sidewalk,6,7
94,Noise,Street/Sidewalk,6,7
97,Traffic,Street/Sidewalk,1,2
99,Noise,Street/Sidewalk,6,7
100,Noise,Store/Commercial,3,4
101,Noise,Street/Sidewalk,6,7
102,Traffic,Street/Sidewalk,1,2
103,Traffic,Street/Sidewalk,1,2
104,Personal Issue,Taxi,0,1
105,Noise,Residential Building/House,5,6
106,Traffic,Street/Sidewalk,1,2
107,Traffic,Street/Sidewalk,1,2
108,Noise,Residential Building/House,5,6
109,Traffic,Street/Sidewalk,1,2
110,Traffic,Street/Sidewalk,1,2
111,Traffic,Street/Sidewalk,1,2
