,Descriptor,Resolved Type,Cluster Labels,Segment
0,Noise,fixed,4,5
1,Noise,fixed,4,5
2,Noise,no_violation,6,7
3,Other,no_violation,1,2
4,Noise,no_violation,6,7
5,Safety,no_violation,7,8
6,Noise,fixed,4,5
7,Noise,fixed,4,5
8,Traffic,referred,0,1
9,Noise,no_violation,6,7
10,Noise,fixed,4,5
11,Noise,no_violation,6,7
12,Noise,no_violation,6,7
13,Noise,fixed,4,5
14,Noise,no_violation,6,7
15,Noise,fixed,4,5
16,Noise,fixed,4,5
17,Noise,fixed,4,5
18,Noise,fixed,4,5
19,Noise,fixed,4,5
20,Noise,no_violation,6,7
21,Traffic,no_violation,5,6
22,Traffic,no_violation,5,6
23,Noise,no_violation,6,7
24,Noise,fixed,4,5
25,Other,info_needed,0,1
26,Noise,info_needed,4,5
27,Noise,fixed,4,5
29,Traffic,info_needed,0,1
30,Noise,fixed,4,5
31,Noise,fixed,4,5
32,Noise,fixed,4,5
33,Noise,fixed,4,5
34,Noise,fixed,4,5
35,Noise,no_violation,6,7
36,Noise,no_violation,6,7
37,Noise,no_violation,6,7
38,Noise,no_violation,6,7
39,Noise,referred,4,5
40,Noise,no_violation,6,7
41,Noise,no_violation,6,7
42,Noise,fixed,4,5
43,Noise,fixed,4,5
44,Noise,info_needed,4,5
45,Noise,no_violation,6,7
46,Noise,fixed,4,5
47,Noise,no_violation,6,7
48,Traffic,no_violation,5,6
49,Noise,no_violation,6,7
50,Noise,fixed,4,5
51,Noise,fixed,4,5
52,Noise,no_violation,6,7
53,Noise,fixed,4,5
54,Noise,fixed,4,5
55,Traffic,fixed,0,1
56,Safety,fixed,0,1
57,Noise,info_needed,4,5
58,Noise,no_violation,6,7
59,Personal Issue,fixed,0,1
60,Traffic,info_needed,0,1
61,Noise,no_violation,6,7
62,Traffic,fixed,0,1
63,Energy,no_violation,1,2
64,Noise,no_violation,6,7
65,Noise,no_violation,6,7
66,Noise,no_violation,6,7
70,Noise,no_violation,6,7
71,Noise,no_violation,6,7
72,Other,no_violation,1,2
73,Noise,fixed,4,5
74,Noise,no_violation,6,7
75,Noise,fixed,4,5
76,Traffic,fixed,0,1
77,Traffic,fixed,0,1
78,Noise,no_violation,6,7
79,Safety,fixed,0,1
80,Noise,no_violation,6,7
81,Noise,no_violation,6,7
82,Traffic,fixed,0,1
83,Traffic,no_violation,5,6
84,Traffic,fixed,0,1
85,Traffic,no_violation,5,6
86,Traffic,no_violation,5,6
87,Traffic,no_violation,5,6
88,Energy,fixed,0,1
89,Traffic,no_violation,5,6
90,Traffic,no_violation,5,6
91,Animals,no_violation,1,2
92,Animals,no_violation,1,2
93,Noise,no_violation,6,7
94,Noise,fixed,4,5
97,Traffic,no_violation,5,6
99,Noise,fixed,4,5
100,Noise,fixed,4,5
101,Noise,fixed,4,5
102,Traffic,fixed,0,1
103,Traffic,fixed,0,1
104,Personal Issue,followup,0,1
105,Noise,fixed,4,5
106,Traffic,no_violation,5,6
107,Traffic,no_violation,5,6
108,Noise,fixed,4,5
109,Traffic,fixed,0,1
110,Traffic,fixed,0,1
111,Traffic,fixed,0,1
112,Traffic,fixed,0,1
114,Traffic,fixed,0,1
115,Traffic,fixed,0,1
116,Traffic,no_violation,5,6
117,Traffic,no_violation,5,6
118,Safety,no_violation,7,8
120,Other,fixed,0,1
121,Traffic,no_violation,5,6
122,Traffic,no_violation,5,6
123,Traffic,no_violation,5,6
124,Noise,no_violation,6,7
127,Traffic,fixed,0,1
128,Personal Issue,followup,0,1
129,Traffic,fixed,0,1
131,Traffic,no_violation,5,6
132,Noise,fixed,4,5
133,Traffic,fixed,0,1
134,Traffic,fixed,0,1
135,Energy,no_violation,1,2
136,Other,no_violation,1,2
137,Traffic,fixed,0,1
138,Traffic,no_violation,5,6
139,Traffic,fixed,0,1
140,Traffic,fixed,0,1
141,Safety,fixed,0,1
142,House,no_violation,1,2
143,Commercial,followup,0,1
144,Traffic,fixed,0,1
145,Traffic,fixed,0,1
147,Commercial,followup,0,1
148,Traffic,no_violation,5,6
149,Traffic,no_violation,5,6
150,Traffic,no_violation,5,6
151,Traffic,no_violation,5,6
152,Traffic,no_violation,5,6
154,Safety,fixed,0,1
155,Traffic,fixed,0,1
156,Personal Issue,followup,0,1
157,Traffic,fixed,0,1
158,Traffic,fixed,0,1
159,Traffic,fixed,0,1
160,Traffic,no_violation,5,6
161,Traffic,fixed,0,1
162,Traffic,fixed,0,1
163,Other,followup,0,1
164,Traffic,no_violation,5,6
165,Traffic,no_violation,5,6
167,Traffic,fixed,0,1
168,Other,followup,0,1
169,Noise,no_violation,6,7
170,Traffic,no_violation,5,6
171,Safety,fixed,0,1
172,Traffic,fixed,0,1
173,Other,referred,0,1
174,Traffic,no_violation,5,6
176,Traffic,fixed,0,1
177,Traffic,no_violation,5,6
178,Personal Issue,no_violation,1,2
179,Noise,fixed,4,5
181,Trash/Pollution,no_violation,3,4
182,Other,fixed,0,1
183,Noise,fixed,4,5
184,Traffic,fixed,0,1
185,Traffic,fixed,0,1
186,Traffic,no_violation,5,6
188,Traffic,referred,0,1
189,Traffic,referred,0,1
191,Traffic,fixed,0,1
192,Traffic,no_violation,5,6
193,Traffic,fixed,0,1
194,Noise,no_violation,6,7
195,Personal Issue,followup,0,1
197,Traffic,fixed,0,1
198,Noise,fixed,4,5
199,Traffic,no_violation,5,6
200,Traffic,no_violation,5,6
201,Noise,no_violation,6,7
202,Safety,no_violation,7,8
203,Safety,no_violation,7,8
204,Safety,no_violation,7,8
205,Commercial,followup,0,1
206,Noise,fixed,4,5
207,Other,no_violation,1,2
208,Traffic,fixed,0,1
211,Noise,fixed,4,5
212,Traffic,no_violation,5,6
213,Traffic,no_violation,5,6
214,Personal Issue,followup,0,1
215,Trash/Pollution,fixed,0,1
216,Traffic,no_violation,5,6
217,Traffic,no_violation,5,6
218,Energy,no_violation,1,2
219,Other,fixed,0,1
220,Animals,referred,0,1
