,Descriptor,Resolved Type,Duration Type,Cluster Labels,Segment
0,Noise,fixed,"(0.069, 26.55]",7,8
1,Noise,fixed,"(0.069, 26.55]",7,8
2,Noise,no_violation,"(0.069, 26.55]",3,4
3,Other,no_violation,"(0.069, 26.55]",3,4
4,Noise,no_violation,"(0.069, 26.55]",3,4
5,Safety,no_violation,"(0.069, 26.55]",3,4
6,Noise,fixed,"(0.069, 26.55]",7,8
7,Noise,fixed,"(0.069, 26.55]",7,8
8,Traffic,referred,"(0.069, 26.55]",1,2
9,Noise,no_violation,"(0.069, 26.55]",3,4
10,Noise,fixed,"(0.069, 26.55]",7,8
11,Noise,no_violation,"(26.55, 63.33]",6,7
12,Noise,no_violation,"(26.55, 63.33]",6,7
13,Noise,fixed,"(26.55, 63.33]",4,5
14,Noise,no_violation,"(26.55, 63.33]",6,7
15,Noise,fixed,"(0.069, 26.55]",7,8
16,Noise,fixed,"(0.069, 26.55]",7,8
17,Noise,fixed,"(0.069, 26.55]",7,8
18,Noise,fixed,"(0.069, 26.55]",7,8
19,Noise,fixed,"(0.069, 26.55]",7,8
20,Noise,no_violation,"(26.55, 63.33]",6,7
21,Traffic,no_violation,"(0.069, 26.55]",1,2
22,Traffic,no_violation,"(26.55, 63.33]",1,2
23,Noise,no_violation,"(26.55, 63.33]",6,7
24,Noise,fixed,"(0.069, 26.55]",7,8
25,Other,info_needed,"(63.33, 2677.65]",8,9
26,Noise,info_needed,"(26.55, 63.33]",4,5
27,Noise,fixed,"(0.069, 26.55]",7,8
29,Traffic,info_needed,"(26.55, 63.33]",1,2
30,Noise,fixed,"(26.55, 63.33]",4,5
31,Noise,fixed,"(0.069, 26.55]",7,8
32,Noise,fixed,"(0.069, 26.55]",7,8
33,Noise,fixed,"(0.069, 26.55]",7,8
34,Noise,fixed,"(26.55, 63.33]",4,5
35,Noise,no_violation,"(26.55, 63.33]",6,7
36,Noise,no_violation,"(26.55, 63.33]",6,7
37,Noise,no_violation,"(63.33, 2677.65]",9,10
38,Noise,no_violation,"(0.069, 26.55]",3,4
39,Noise,referred,"(0.069, 26.55]",3,4
40,Noise,no_violation,"(63.33, 2677.65]",9,10
41,Noise,no_violation,"(0.069, 26.55]",3,4
42,Noise,fixed,"(26.55, 63.33]",4,5
43,Noise,fixed,"(26.55, 63.33]",4,5
44,Noise,info_needed,"(63.33, 2677.65]",9,10
45,Noise,no_violation,"(26.55, 63.33]",6,7
46,Noise,fixed,"(0.069, 26.55]",7,8
47,Noise,no_violation,"(63.33, 2677.65]",9,10
48,Traffic,no_violation,"(0.069, 26.55]",1,2
49,Noise,no_violation,"(63.33, 2677.65]",9,10
50,Noise,fixed,"(26.55, 63.33]",4,5
51,Noise,fixed,"(26.55, 63.33]",4,5
52,Noise,no_violation,"(26.55, 63.33]",6,7
53,Noise,fixed,"(26.55, 63.33]",4,5
54,Noise,fixed,"(26.55, 63.33]",4,5
55,Traffic,fixed,"(26.55, 63.33]",0,1
56,Safety,fixed,"(26.55, 63.33]",0,1
57,Noise,info_needed,"(63.33, 2677.65]",9,10
58,Noise,no_violation,"(26.55, 63.33]",6,7
59,Personal Issue,fixed,"(63.33, 2677.65]",8,9
60,Traffic,info_needed,"(63.33, 2677.65]",8,9
61,Noise,no_violation,"(0.069, 26.55]",3,4
62,Traffic,fixed,"(63.33, 2677.65]",8,9
63,Energy,no_violation,"(26.55, 63.33]",1,2
64,Noise,no_violation,"(26.55, 63.33]",6,7
65,Noise,no_violation,"(0.069, 26.55]",3,4
66,Noise,no_violation,"(26.55, 63.33]",6,7
70,Noise,no_violation,"(26.55, 63.33]",6,7
71,Noise,no_violation,"(26.55, 63.33]",6,7
72,Other,no_violation,"(0.069, 26.55]",3,4
73,Noise,fixed,"(63.33, 2677.65]",4,5
74,Noise,no_violation,"(26.55, 63.33]",6,7
75,Noise,fixed,"(26.55, 63.33]",4,5
76,Traffic,fixed,"(26.55, 63.33]",0,1
77,Traffic,fixed,"(26.55, 63.33]",0,1
78,Noise,no_violation,"(0.069, 26.55]",3,4
79,Safety,fixed,"(0.069, 26.55]",0,1
80,Noise,no_violation,"(63.33, 2677.65]",9,10
81,Noise,no_violation,"(26.55, 63.33]",6,7
82,Traffic,fixed,"(0.069, 26.55]",7,8
83,Traffic,no_violation,"(0.069, 26.55]",1,2
84,Traffic,fixed,"(26.55, 63.33]",0,1
85,Traffic,no_violation,"(63.33, 2677.65]",1,2
86,Traffic,no_violation,"(26.55, 63.33]",1,2
87,Traffic,no_violation,"(26.55, 63.33]",1,2
88,Energy,fixed,"(0.069, 26.55]",7,8
89,Traffic,no_violation,"(26.55, 63.33]",1,2
90,Traffic,no_violation,"(26.55, 63.33]",1,2
91,Animals,no_violation,"(26.55, 63.33]",1,2
92,Animals,no_violation,"(0.069, 26.55]",3,4
93,Noise,no_violation,"(26.55, 63.33]",6,7
94,Noise,fixed,"(0.069, 26.55]",7,8
97,Traffic,no_violation,"(0.069, 26.55]",1,2
99,Noise,fixed,"(63.33, 2677.65]",4,5
100,Noise,fixed,"(26.55, 63.33]",4,5
101,Noise,fixed,"(26.55, 63.33]",4,5
102,Traffic,fixed,"(63.33, 2677.65]",8,9
103,Traffic,fixed,"(26.55, 63.33]",0,1
104,Personal Issue,followup,"(0.069, 26.55]",3,4
105,Noise,fixed,"(63.33, 2677.65]",4,5
106,Traffic,no_violation,"(0.069, 26.55]",1,2
107,Traffic,no_violation,"(63.33, 2677.65]",1,2
108,Noise,fixed,"(26.55, 63.33]",4,5
109,Traffic,fixed,"(26.55, 63.33]",0,1
110,Traffic,fixed,"(26.55, 63.33]",0,1
111,Traffic,fixed,"(26.55, 63.33]",0,1
112,Traffic,fixed,"(26.55, 63.33]",0,1
114,Traffic,fixed,"(0.069, 26.55]",7,8
115,Traffic,fixed,"(26.55, 63.33]",0,1
116,Traffic,no_violation,"(0.069, 26.55]",1,2
117,Traffic,no_violation,"(0.069, 26.55]",1,2
118,Safety,no_violation,"(26.55, 63.33]",0,1
120,Other,fixed,"(63.33, 2677.65]",8,9
121,Traffic,no_violation,"(0.069, 26.55]",1,2
122,Traffic,no_violation,"(0.069, 26.55]",1,2
123,Traffic,no_violation,"(63.33, 2677.65]",1,2
124,Noise,no_violation,"(0.069, 26.55]",3,4
127,Traffic,fixed,"(26.55, 63.33]",0,1
128,Personal Issue,followup,"(0.069, 26.55]",3,4
129,Traffic,fixed,"(63.33, 2677.65]",8,9
131,Traffic,no_violation,"(26.55, 63.33]",1,2
132,Noise,fixed,"(26.55, 63.33]",4,5
133,Traffic,fixed,"(63.33, 2677.65]",8,9
134,Traffic,fixed,"(0.069, 26.55]",7,8
135,Energy,no_violation,"(26.55, 63.33]",1,2
136,Other,no_violation,"(63.33, 2677.65]",9,10
137,Traffic,fixed,"(0.069, 26.55]",7,8
138,Traffic,no_violation,"(63.33, 2677.65]",1,2
139,Traffic,fixed,"(0.069, 26.55]",7,8
140,Traffic,fixed,"(63.33, 2677.65]",8,9
141,Safety,fixed,"(63.33, 2677.65]",0,1
142,House,no_violation,"(26.55, 63.33]",1,2
143,Commercial,followup,"(0.069, 26.55]",3,4
144,Traffic,fixed,"(63.33, 2677.65]",8,9
145,Traffic,fixed,"(63.33, 2677.65]",8,9
147,Commercial,followup,"(0.069, 26.55]",3,4
148,Traffic,no_violation,"(63.33, 2677.65]",1,2
149,Traffic,no_violation,"(0.069, 26.55]",1,2
150,Traffic,no_violation,"(63.33, 2677.65]",1,2
151,Traffic,no_violation,"(26.55, 63.33]",1,2
152,Traffic,no_violation,"(26.55, 63.33]",1,2
154,Safety,fixed,"(26.55, 63.33]",0,1
155,Traffic,fixed,"(26.55, 63.33]",0,1
156,Personal Issue,followup,"(0.069, 26.55]",3,4
157,Traffic,fixed,"(26.55, 63.33]",0,1
158,Traffic,fixed,"(26.55, 63.33]",0,1
159,Traffic,fixed,"(0.069, 26.55]",7,8
160,Traffic,no_violation,"(63.33, 2677.65]",1,2
161,Traffic,fixed,"(0.069, 26.55]",7,8
162,Traffic,fixed,"(63.33, 2677.65]",8,9
163,Other,followup,"(63.33, 2677.65]",8,9
164,Traffic,no_violation,"(63.33, 2677.65]",1,2
